"","placement","civ","player","score"
"1",1,"AZTECS","p3ngie",102
"2",2,"EGYPT","crashcourse316",71
"3",3,"GREECE","Bot",53
"4",4,"ROME","aurora.rae",27
"5",1,"GREECE","inkvisiitorriistan",110
"6",2,"AZTECS","lewis_laswell",88
"7",3,"CHINA","Bot",2
"8",1,"GREECE","trow",111
"9",2,"PERSIA","Bot",96
"10",3,"EGYPT","lordstiffla",54
"11",4,"AZTECS","Bot",36
"12",5,"ARABIA","Bot",7
"13",1,"EGYPT","p8orion",113
"14",2,"ROME","Bot",96
"15",3,"PERSIA","Bot",58
"16",4,"ARABIA",".katiag",55
"17",1,"PERSIA","matth_1",102
"18",2,"RUSSIA","maitremoqueur",95
"19",3,"ARABIA","snoopydogogod",69
"20",4,"ENGLAND","anashak",64
"21",5,"FRANCE","ogmanantoine",33
"22",1,"GREECE","inkvisiitorriistan",100
"23",2,"AZTECS","lewis_laswell",55
"24",3,"PERSIA","Bot",40
"25",4,"FRANCE","Unknown Player",39
"26",5,"RUSSIA","Bot",24
"27",1,"FRANCE","lordstiffla",110
"28",2,"CHINA","Bot",69
"29",3,"ROME","trow",49
"30",4,"AZTECS","Bot",28
"31",5,"ENGLAND","Bot",0
"32",1,"AZTECS","Bot",103
"33",2,"RUSSIA","Bot",70
"34",3,"FRANCE",".katiag",54
"35",4,"ROME","p8orion",41
"36",1,"FRANCE","maitremoqueur",105
"37",2,"CHINA","ogmanantoine",78
"38",3,"ENGLAND","snoopydogogod",55
"39",4,"RUSSIA","matth_1",49
"40",5,"EGYPT","anashak",28
"41",1,"GREECE","inkvisiitorriistan",103
"42",2,"AZTECS","lewis_laswell",26
"43",3,"ROME","Bot",11
"44",1,"EGYPT","trow",108
"45",2,"RUSSIA","lordstiffla",71
"46",3,"CHINA","Bot",54
"47",4,"AZTECS","Bot",6
"48",1,"ARABIA","Unknown Player",121
"49",2,"ROME","spoonx2",34
"50",3,"FRANCE","brunogaia_lac",20
"51",1,"ROME","lordstiffla",106
"52",2,"FRANCE","Bot",89
"53",3,"ENGLAND","trow",41
"54",4,"GREECE","Bot",36
"55",1,"RUSSIA","sudosage",107
"56",2,"CHINA","Bot",82
"57",3,"ARABIA","Bot",66
"58",4,"EGYPT","parkle4047",37
"59",1,"ROME","Unknown Player",104
"60",2,"GREECE","Unknown Player",41
"61",3,"ARABIA","michael8539",32
"62",4,"FRANCE","brunogaia_lac",20
"63",5,"RUSSIA","Unknown Player",10
"64",1,"FRANCE","brunogaia_lac",106
"65",2,"PERSIA","Unknown Player",100
"66",3,"EGYPT","Bot",37
"67",4,"RUSSIA","Bot",19
"68",5,"GREECE","inkvisiitorriistan",1
"69",1,"ARABIA","romanne_",101
"70",2,"PERSIA","Unknown Player",52
"71",3,"ROME","Bot",46
"72",4,"GREECE","inkvisiitorriistan",18
"73",1,"ARABIA","roteisen",108
"74",2,"EGYPT","ardurions",95
"75",3,"ROME","canardov",60
"76",4,"RUSSIA","Bot",2
"77",1,"RUSSIA","generalsnafferz",101
"78",2,"ROME","trow",78
"79",3,"CHINA","Bot",52
"80",4,"PERSIA","Bot",17
